Date,Temp.F,Dew_Point.F,Humidity.percentage,Sea_Level_Press.in,Visibility.mi,Wind.mph,Precip.in,Events
7/4/2015,73,62,66,29.96,9,3,0,Rain
7/7/2015,68,62,83,30.01,4,10,0.45,Rain
7/8/2015,64,62,90,29.95,6,8,0,Rain
7/9/2015,70,61,75,30.02,10,3,0,Rain
7/24/2015,86,76,74,29.89,10,5,0,Rain
8/5/2015,74,68,82,29.94,10,7,0.07,Rain
8/9/2015,86,77,78,29.83,10,8,0.02,Rain
9/2/2015,82,68,65,29.96,10,9,0,Rain
10/6/2015,64,57,81,30.16,10,1,0,Rain
10/9/2015,59,49,72,30.23,10,6,0.02,Rain
10/22/2015,69,57,68,30.11,10,6,0,Rain
10/23/2015,68,62,82,29.88,9,11,0.18,Rain
10/27/2015,55,52,91,29.85,5,6,0.05,Rain
10/28/2015,56,44,72,29.74,10,9,0,Rain
10/30/2015,44,41,83,29.96,8,4,0.2,Rain
10/31/2015,50,48,90,29.79,7,4,0.17,Rain
11/5/2015,62,57,77,29.85,10,12,0.03,Rain
11/18/2015,50,41,74,29.47,10,14,0.02,Rain
11/20/2015,44,29,55,30.04,10,6,0,Rain
11/21/2015,34,23,63,30.27,10,13,0,Rain
11/28/2015,34,30,89,30.38,9,10,0.01,Rain
11/29/2015,36,34,92,30.24,6,9,0.36,Rain
11/30/2015,38,36,92,29.98,6,6,0.21,Rain
12/12/2015,54,47,84,29.79,8,2,0,Rain
12/13/2015,56,57,91,29.46,7,9,1.19,Rain
12/14/2015,44,39,84,29.46,10,9,0.02,Rain
12/20/2015,52,42,63,29.87,10,18,0,Rain
12/23/2015,50,41,73,29.33,10,12,0.01,Rain
12/26/2015,42,38,82,30,9,10,0.69,Rain
12/27/2015,34,29,80,30.26,9,16,0.03,Rain
1/7/2016,42,40,95,29.84,4,4,0.15,Rain
1/8/2016,40,38,90,29.77,9,6,0.05,Rain
1/9/2016,22,15,71,30.09,10,13,0,Snow
1/17/2016,12,0,66,30.32,8,12,0.01,Snow
1/21/2016,26,20,80,30.23,6,9,0,Snow
2/1/2016,46,32,63,29.94,10,5,0.03,Rain
2/3/2016,30,21,66,30.05,10,14,0,Snow
2/8/2016,32,18,56,30.06,10,18,0,Snow
2/16/2016,40,33,69,29.89,10,11,0,Rain
2/25/2016,38,26,65,30.24,10,9,0,Snow
3/11/2016,56,41,58,30.21,10,4,0,Rain
3/12/2016,54,52,91,29.96,5,5,0.17,Rain
3/18/2016,46,25,47,30.15,10,10,0,Rain
3/20/2016,42,29,67,30.32,9,9,0,Snow
3/24/2016,48,35,75,29.75,9,14,0,Rain
3/26/2016,52,41,69,29.97,10,7,0.04,Rain
3/31/2016,55,46,68,29.56,10,10,0,Rain
4/1/2016,46,32,60,29.96,10,11,0,Rain
4/6/2016,60,41,56,29.8,10,11,0.03,Rain
4/17/2016,67,54,60,30.16,10,9,0,Rain
4/18/2016,64,60,85,30.15,9,7,0.17,Rain
4/19/2016,64,54,74,30.14,10,6,0.01,Rain
4/20/2016,63,53,75,29.89,9,8,0.11,Rain
4/29/2016,52,47,80,29.95,9,10,0.14,Rain
5/15/2016,55,38,54,30.19,10,4,0.03,Rain
5/16/2016,54,50,88,30.08,8,7,0.71,Rain
5/17/2016,56,48,81,30.17,9,11,0.19,Rain
5/19/2016,59,46,65,30.11,10,3,0.09,Rain
5/20/2016,62,52,73,30.06,10,5,0.01,Rain
5/21/2016,63,49,61,30.13,10,4,0.01,Rain
5/25/2016,75,63,66,29.85,10,9,0.05,Rain
5/31/2016,72,63,74,29.91,10,4,0.03,Rain
6/13/2016,80,70,74,29.9,9,5,0.18,Rain
6/21/2016,86,70,60,29.98,10,9,0,Rain
7/4/2016,75,66,79,29.87,8,5,0,Rain
8/7/2016,74,64,74,29.99,10,8,0.06,Rain
8/31/2016,76,69,80,30.09,10,5,0.14,Rain
9/25/2016,67,62,82,30.08,9,6,0.29,Rain
10/7/2016,56,44,76,30.22,8,10,0.01,Rain
10/10/2016,65,50,61,30.17,10,5,0.04,Rain
10/20/2016,54,41,61,30.26,10,8,0.04,Rain
11/7/2016,58,50,76,30.19,10,3,0.05,Rain
11/22/2016,55,45,70,29.85,10,9,0.01,Rain
11/23/2016,50,43,84,29.99,10,10,0.03,Rain
12/3/2016,40,31,68,30.23,10,4,0,Rain
12/4/2016,40,38,88,30.03,8,7,0.22,Rain
12/7/2016,28,18,67,30.33,6,7,0,Snow
12/17/2016,20,12,80,29.98,4,12,0.01,Snow
12/23/2016,44,33,71,30.02,10,7,0.03,Rain
